id,subject,body,true_label
68,"Re: [opensuse] Nvidia compiz ""freeze""","Daniel Bauer wrote:
 Hi everybody
 
 Since I installed compiz-fusion the screen freezes after the screensaver 
 starts or when I go to a text-console (ctrl-alt-F2) and come back again. 
 (mouse can be moved, but no action on click, cannot switch to text-console, 
 have to shutdown and restart).
 
In the short term choosing ""Blank"" screen as your screen saver may help. 
I have had this issue as well on an ATI card, so it isn't just nVidia 
specific.

-- 
David C. Rankin, J.D., P.E.
Rankin Law Firm, PLLC
510 Ochiltree Street
Nacogdoches, Texas 75961
Telephone: (936) 715-9333
Facsimile: (936) 715-9339
www.rank",legitimate
69,Re: Variable subject line spam.,"Hi,
Yes, I have whitelist myself. I see it as that score without the whitelist.

Regards,
Frank

On 26/02/2008 3:21 PM, fchan wrote:
  Hi,
  Thank you Loren Wilton. I think this is best solution for me.
  These are not from Kohl's or any other legitimate  company. The subject
  changes from month to month and the percentages change but the format
  remains the same for the subject line. The body uses legitimate text
  taken from various webpages and have phishing link which also varies.
  The sender is  ""me"" but the Return-Path is the same name at different
  domain.
  I tried to attach the message but apache.org rejected it.

Which brings up the question, why are you having problems catching it?
Have you whitelisted youreself with whitelist_from.  Most of these I see
score",legitimate
70,[UAI] NIPS 2005 Call for Papers,"__________________________________________________
Do You Yahoo!?
Tired of spam?  Yahoo! Mail has the best spam protection around 
http://mail.yahoo.com",legitimate
71,"[UAI] RA at Imperial College, London","Dear all,
We are looking for a Research Assistant/Associate to work in the Body 
Sensors Networks group focusing on pervasive computing. Experience in 
any of the following areas will be preferred:
• Multi-sensor fusion, pattern recognition, data mining and knowledge 
discovery
• Machine learning and decision support
• Embedded systems, wireless sensor networks and automatic systems
• Large-scale real-time databases
The posts are for a fixed term of 36 months. Research Assistant 
applicants should have a distinction-level Masters degree (or 
equivalent) in computer science, electrical engineering or medical 
physics. Research Associate applicants should have a PhD (or equivalent) 
in computer science, electrical engineering or medical physics. 
Preference will be given to applicants with a proven research record in 
relevant areas.
Applications should include a College application form, which can be 
obtained from: http://www.imperial.ac.uk/employment",legitimate
72,CNN.com Daily Top 10,"THE DAILY TOP 10 from CNN.com Top videos and stories as of: Aug  1, 2008  3:58 PM EDT  TOP 10 VIDEOS 1. MOM PARTIES AT A CLUB http://www.cnn.com/video/partners/email/index.html?url/video/crime/2008/08/05/ng.mom.pics.cnn Nancy Grace has new photos of Casey Anthony partying at a nightclub after her daughter Caylee vanished. 2. WOMAN'S COMPUTER SPIES ON HER http://www.cnn.com/video/partners/email/index.html?url/video/tech/2008/08/05/pkg.webcam.spying.wcjb 3. TIGERS ATTACK TEEN AT ZOO http://www.cnn.com/video/partners/email/index.html?url/video/us/2008/08/05/wuellner.tiger.attacks.teen.kytv 4",fraudulent
73,Re: [ILUG] Jobs question,"Hi guys,
 It's a long time since I was on this list, so I have a question.

 I know there used to be a lot of discussion over whether people should be
 allowed to advertise jobs on the list, so before I do, I would
 like to know whether this is allowed now. The job in question is linux
 based, so it is sort of relevant to the list.

 If it is allowed, I'll post a description of the job, and people can reply
 to me off-list.

 Thanks guys,

 eamo
 --
 Irish Linux Users' Group mailing list
 About this list : http://mail.linux.ie/mailman/listinfo/ilug
 Who we are : http://www.linux.ie/
 Where we are : http://www.linux.ie/map/


I hope they are that is a big reason why i joined this list, if this isn't
the place for job postings in.ie, any one got any recommendations",legitimate
74,Your AdWords Google Account is stoped.,"----------------------------------
-----------------------------
------------------------------
Dear Advertiser,

We were unable to process your payment.

Your ads will be suspended soon unless we can process your payment.

To prevent your ads from being suspended, please update your payment information.

Please sign into your account and update your payment information.

We look forward to providing you with the most effective advertising available.

Thank you for advertising with Google AdWords. 


----------------------------------------------------
---------------
-------------------------",fraudulent
75,Re: perl5.005_05-MAINT20070902,"""Alexandr Ciornii""  writes:

 Hello.
 
 2007/10/2, Leon Brocard :
  Hi there porters,
 
  Perl 5.005 is a great version of Perl and still used by many people.
  There have been a few distribution updates and tool changes which mean
  that it no longer compiles cleanly everywhere, so I believe it's time
  for a second maintenance release of perl5.005, which will lead to
  perl5.005_05.
 
 On Redhat 9 I had problems with following modules:
 
 fail:
 Data::Dumper

I see failures in the compilation, but maybe the pure perl version
would work?

 Storable
 Time::HiRes

Patch already on RT.

 File::Temp (depends on Carp::Heavy, which is core only)

Patch already on RT",legitimate
76,"Re: [perl #46987] OO-call failures, autoviv-functions & testing their existence","On Monday 29 October 2007 19:37:10 Linda W wrote:

 I claim method calls look for
 methods.  You are stuck in Perl's internals talking about 'entries'.

Objection: Perl 5 makes no distinction in storage between methods and subs.  
Method calls in Perl 5 do not look for methods.  If you're lucky (or 
disciplined), Perl 5 will find methods.  If you're unlucky (or 
undisciplined), Perl 5 will find subs.

Having subs into packages which you expect to contain only 
subs-acting-as-methods will lead to surprising behavior now and then, as in 
this case.

I suppose that this could be a bug if you look at it a certain way, but 
distinguishing between methods and subs would be a very big change for",legitimate
77,[ILUG] [OT] Job Opportunity - Web Applications Developer (Python),"Hi all,

Glandore Systems, in Cork, is currently hiring a Python programmer with
experience in developing web applications.  Experience with the Django
framework would be a plus.  If you are interested, or know anyone who might
be interested, please send me a mail or give me a call at the number below.

Thanks,
James

-- 
Glandore Systems
http://www.glandoresystems.com/
Phone: 353 (0) 21 4250622
Mobile: 353 (0) 86 0714991",legitimate
78,"You Can Enlarge Your Penis By 3"" Compare Top 5 Penis Enlargers","Just 2 pills a day, for incredible and quick gains in length and thickness. All gains are permanent, and all results are guaranteed - or your money back! 

Increase both your thickness and length within a few short weeks - women simply love it when you have a large manhood. 

http://jumpwill.com/",fraudulent
79,Re: [ILUG] Shell script question...,"Braun Brelin wrote:
 Hello all,
 
 I've got a small bash script that looks like this:
 
 #!/bin/sh
 
 a5
 b2
 op'*'
 
 c`expr $a $op $b`    # This line gives me an error
 c`expr $a * $b`       # This line works
 echo ""c  $c""
 
 Can anyone tell me why the first line using $op fails and why the second
 line hardcoding the value of $op works?

Ah the joys of shell quoting.

with this command: c`expr $a $op $b`
expr will get two characters * as the second parameter,
as the shell has not ""evaluated"" * to *

You can explicitly get the shell to evaluate
a command as if typed on the command line like:

echo `eval expr $a $op $b`

You could also",legitimate
80,Re: queue file write error for my milter,"Mani Jassar:
 Mar  1 18:16:30 mjassar-cent postfix/cleanup[23840]: warning: cannot receive milters via service cleanup socket socket
 Mar  1 18:16:31 mjassar-cent postfix/master[23824]: warning: process /usr/libexec/postfix/cleanup pid 23840 killed by signal 11

You need to find out why your cleanup server dies.

	Wietse",legitimate
81,Re: [Python-3000] range() issues,"On Tue, Apr 29, 2008 at 4:09 PM, Mark Dickinson  wrote:
 Put another way:  range(n) currently works, in Py3k, for n  sys.maxsize.
 What's the rationale for breaking that?

So we can support other sequence methods. (I think.)

Personally, I think that range should be just an easy to iterate over
a sequence (set, series, or whatever the term is) of integers (even if
they're huge). I don't think we need to turn it into a sequence. That
fits in your brain. If you need to do something more advanced than
counting, there are other things out there! Where are the use cases
for range slicing, anyway?



-- 
Cheers,
Benjamin Peterson
_______________________________________________
Python-3000 mailing list
smsbmo-9552@python",legitimate
82,Prix Ars Electronica 2008 - Extended Deadline,"Dear friends and participants of Prix Ars Electronica!

Prix Ars Electronica 2008 is considering several requests of artists and submitters and has extended the deadline for the online registration until March 19, 2008.

NEW Submission Deadline: March 19, 2008
Details about entering are available online only at http://prixars.aec.at/ 

Categories:
Computer Animation / Film / VFX, Digital Musics, Interactive Art, Hybrid Art, 
Digital Communities, u19 - freestyle competition, Media.Art.Research Award

Contact:
Ingrid Fischer / Romana Leopoldseder: bnqnfkpgqyy@prixars.aec.at

Your Prix Ars Electronica 2008 Team


----------------------------------------------------------------------
If you don't want to receive the AEC Newsletter any more, you can
unsubscribe by sending a mail to 68404506-fqsrhtxismc@",legitimate
83,Luxurious costume replica watches at lowest prices,"There's no battery in these replicas just like the real ones since they charge themselves as you move. 

replica Watches! rolex, patek philippe, vacheron... 

rolex cartier omega LV CD chanel gucci...  

http://fundspampasau.com/",fraudulent
84,;) Look sexy songs Gallery!!!,"#jGJmiXKate Moss New presentation.

#GJmiXB
Look it now!",fraudulent
85,CNN Alerts: My Custom Alert,"CNN Alerts: My Custom Alert






 



Alert Name: My Custom Alert
Church gay issue tears cledgy apart

Fri, 8 Aug 2008 02:43:15 -0500

FULL STORY



You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings.
To manage your settings click here.
To alter your alert criteria or frequency or to unsubscribe from receiving custom email alerts, click here.


Cable News Network. One CNN Center, Atlanta, Georgia 30303
© 2008 Cable News Network.
A Time Warner Company
All Rights Reserved.
View our privacy policy and terms.",fraudulent
86,Minister Doing Coke,Which one is it?,legitimate
87,Rolex is not for all. Is it for you?,"Therefore it is very important to chose the right replica retailer. 

0ver 3OO $tyles of Replica //atches

Best Frank Muller replica watches at Replica Classics 

http://fundspampasau.com/",fraudulent
88,ProductListAddtoCartProducts,"InternationalPharmacyWorldwideTakeALook
http://tqikpa.blu.livefilestore.com/y1po-cWXQ8BGCwJVgpY3XDCWNfzTBJurQ_ahNYMVLWV3_HyGFiE0sHM7Ql1hga7VeLQVrn1cdIl47mHJssg20DSzA/index.html",fraudulent
89,Your sweetheart will like it!,"Hear your gf scream as she gets stuck deep with your immeasurable love wand!
Start acting now to get satisfactory results in a few weeks!
http://placefall.com/


claiming to be police officers signalled him to stop.A complete list of the products recalled can be foundJonathan Woodgate brought Ronaldo down in the box, and",fraudulent
90,Re: [opensuse] Problem with make,"Dave Plater schrieb:
 � wrote:
 hi there,

 i have a problem with make or my kernel sources here:

 i want to compile a unionfs kernel module. make leads to the 
 following response:

 make -C /lib/modules/2.6.22.13-0.3-default/build 
 SUBDIRS/opt/unionfs/unionfs-1.4 
 FISTDEVMK/opt/unionfs/unionfs-1.4/fistdev.mk modules
 make[1]: Entering directory 
 `/usr/src/linux-2.6.22.13-0.3-obj/i386/default'
 make[1]: *** No rule to make target `modules'.  Stop.
 make[1]: Leaving directory 
 `/usr/src/linux-2.6.22.13-0.3-obj/i386/default'
 make: *** [unionfs.ko] Error",legitimate
91,Re: [Python-Dev] [Python-3000] Python 2.6 and 3.0,"My problem is still getting my head
 around various MSI issues at any level (eg, bdist_msi needs some tweaking to
 allow for different releases of the same ""package"" to be recognized as such,
 but I'm not sure what MSI concept I'm dealing with yet...)

Don't hesitate to ask here. Not sure what problem you are talking to 
specifically, but I guess you are asking for ""upgrade codes""; there is
also upgrade codes and package codes.

Each package file should have its own unique *packageÜ code, mere 
rebuilding should generate a new one. msilib does that correctly.
A package code code can be installed at most once on a system.

Related packages for the same software should share a *product* code.
Rebuilding should not change the package code (",legitimate
92,Re: [Python-3000] Displaying strings containing unicode escapes,"On Thu, May 1, 2008 at 2:34 AM, Guido van Rossum  wrote:
  This should be done with a new function, not added to print. Once you
  specify an encoding, you have to write to sys.stdout.buffer, which is
  the underlying binary stream; but you'd have to flush the
  TextIOWrapper and deal with incomplete codec state, and in general I
  don't think it's a good idea.

Thank you for your comment. I'll reconsider this part in the PEP.
_______________________________________________
Python-3000 mailing list
smsbmo-9552@python.org
http://mail.python.org/mailman/listinfo/python-3000
Unsubscribe: http://mail.python.org/mailman/options/python-3000/python-3000%40tangomu.com",legitimate
93,"New White Paper Roundup: Exchange 2007 deployment strategies for SMBs, OCS performance testing, and more","Dear SearchExchange.com member,

Visit the SearchExchange.com White Paper Library today and read our
free white papers.

1. Guide to Migration and Security on Exchange 2007 for SMBs
   http://go.techtarget.com/r/3051976/2079970

2. Performance Report for MS Office Communications Server 
   Consolidated Configuration on HP BladeSystem
   http://go.techtarget.com/r/3051977/2079970

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Guide to Migration and Security on Exchange 2007 for SMBs
Sponsored by: Sunbelt Software
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Deploying Exchange Server can be especially tough on small and
medium-sized businesses (SMBs). Outside of the normal challenges that
come with deployment, SMBs also have to deal with smaller budgets and
a",legitimate
94,Sports Briefing: Richards leans on her family in chase for gold in 400 meters,"Newsletter - USATODAY.com











To view the latest USA TODAY 
  Sports headlines on your mobile device,  
  click here.
  If you have trouble reading this e-mail newsletter click here.
To make changes to your e-mail subscriptions, click here











































 Richards leans on her family in chase for gold in 400 meters
By Dick Patrick, USA TODAY
GOLD STANDARD:  A closer look at Team USA's top athletes
















Essentials: 
      	    Scores 
      	   Game 
      	On! blog    Sheridan's 
      	odds    Game 
      	matchups    TV 
      	listings    Transactions 
      	   Fantasy












 20 
      years later
      Gretzky trade to L.A. remembered for'seismic impact.'



 
Way 
      up north
      Ex-NFLers",legitimate
95,Take out your secret weapon,"To reach the desired proportion you should  take this remedy for just a few months
Start training your soldier of love now!
http://milddear.com/


boy would learn how to overcome great odds, how to handle tumultuousmoney could bring him only so much. He wanted to turn hisQuantum Fund, and reinvested all dividends, he or she would have",fraudulent
96,[Pownce] New event invitation from Leo Laporte!,"Leo Laporte has invited you to an event!

Some of the world's top photographers will sell their prints of Tasmania photos to benefit the Save The Tasmanian Devil fund. I'll be there and I hope you will, too!

What: Lightroom Adventure: Tasmania Reception
Where: Henry Jones Art Hotel, Hobart, Tasmania, Australia
When: Sun, April 13 2008 at 5 p.m.

View the event and RSVPs:
http://pownce.com/leolaporte/notes/1764051/


---
Want to control which emails you receive from Pownce?
http://pownce.com/settings/notifications/",legitimate
97,Re: [Python-Dev] [Distutils] how to easily consume just the parts	of eggs that are good for you,"Phillip J. Eby wrote:
 It would be, if.eggs were a packaging format, rather than a binary 
 distribution/runtime format.

 Remember ""eggs are to Python as jars are to Java"" -- a Java.jar 
 doesn't contain documentation either, unless it's needed at 
 runtime.  Same for configuration files.
   
But there's generally no need to easily have a look into a.class file 
with a tool the user
is used to whereas for python, we're often interested in knowing the 
details. And having
a zip file in my way to the source has left me frustrated often enough.

If you want to be consequent and consistent leave out the.py files from 
eggs, a jar file
normally doesn't contain.java sources files either.

 They're not",legitimate
98,CNN.com Daily Top 10,"THE DAILY TOP 10 from CNN.com Top videos and stories as of: Aug  1, 2008  3:58 PM EDT  TOP 10 VIDEOS 1. MONTAUK 'MONSTER' http://www.cnn.com/video/partners/email/index.html?url/video/us/2008/07/31/moos.montauk.monster.cnn Is it a devil dog? Is it a turtle? Is it the Montauk Monster? CNN's Jeanne Moos asks, ""what is this thing?"" 2. RACY PHOTOS OF TODDLER'S MOM http://www.cnn.com/video/partners/email/index.html?url/video/crime/2008/07/31/ng.racy.photos.cnn 3. NEWS OF THE ABSURD EPISODE 54 http://www.cnn.com/video/partners/email/index.html?url/video/podcasts",fraudulent
99,[UAI] Preliminary CFP: MLG-2008: 6th International Workshop on Mining and Learning with Graphs,"Preliminary Announcement

MLG-2008: 6th International Workshop on Mining and Learning with Graphs

Helsinki, Finland
July 4 and 5, 2008

Co-located with ICML 2008, COLT 2008
 and UAI 2008


Driven by application areas ranging from biology to the World Wide Web,
research in Data Mining and Machine Learning is nowadays increasingly
focusing on the analysis of structured data. Of particular interest  
is data
that consists of interrelated parts or is characterized by  
collections of
objects that are interrelated and linked together into complex graphs  
and
structures. Following in the",legitimate
100,Re: postfix making too many queries to LDAP,"Mike Kenny:
  While others here might be able to speak to the query mechanism, my own
  suggestion is to stop doing remote queries to LDAP. Just because it's
  possible, doesn't mean you should. I take dumps of the Windows AD (only
  the required attributes) on a two-hourly basis (during the day), and use
  that to generate hashed map files for the actual address resolution on
  each of the Postfix servers. Your own dump interval should probably
  represent the KPIs you might have in relation to account/mail account
  creation.
 
   Other than speeding up the query time by looking at the local maps,
  you're not annoying your LDAP administrators by constantly thrashing it
  (and the internal network) with lookups, spurious or not. Of course,
  there are probably performance trade-offs if your hash (or whatever)
  maps get too large",legitimate
